ID	GO_term	GO_name
PF00031	GO:0004869	cysteine-type endopeptidase inhibitor activity	function
PF16845	GO:0004869	cysteine-type endopeptidase inhibitor activity	function
PF00522	GO:0019058	viral life cycle	process
PF00522	GO:0042025	host cell nucleus	component
PF02031	GO:0008270	zinc ion binding	function
PF02031	GO:0004222	metalloendopeptidase activity	function
PF02031	GO:0006508	proteolysis	process
PF02031	GO:0005576	extracellular region	component
PF00577	GO:0016020	membrane	component
PF00577	GO:0015473	fimbrial usher porin activity	function
PF00577	GO:0009297	pilus assembly	process
PF01821	GO:0005576	extracellular region	component
PF01848	GO:0016020	membrane	component
PF00365	GO:0006096	glycolytic process	process
PF00365	GO:0003872	6-phosphofructokinase activity	function
PF00545	GO:0004521	RNA endonuclease activity	function
PF00545	GO:0003723	RNA binding	function
PF01328	GO:0004601	peroxidase activity	function
PF00731	GO:0006189	'de novo' IMP biosynthetic process	process
PF01278	GO:0006508	proteolysis	process
PF01278	GO:0004175	endopeptidase activity	function
PF01278	GO:0009279	cell outer membrane	component
PF01668	GO:0003723	RNA binding	function
PF01478	GO:0004190	aspartic-type endopeptidase activity	function
PF01478	GO:0016020	membrane	component
PF00612	GO:0005515	protein binding	function
PF00286	GO:0005198	structural molecule activity	function
PF00286	GO:0019028	viral capsid	component
PF01198	GO:0003735	structural constituent of ribosome	function
PF01198	GO:0005840	ribosome	component
PF01198	GO:0006412	translation	process
PF01420	GO:0003677	DNA binding	function
PF00834	GO:0005975	carbohydrate metabolic process	process
PF00834	GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives	function
PF01428	GO:0008270	zinc ion binding	function
PF02028	GO:0071705	nitrogen compound transport	process
PF02028	GO:0016020	membrane	component
PF02028	GO:0022857	transmembrane transporter activity	function
PF01805	GO:0006396	RNA processing	process
PF01805	GO:0003723	RNA binding	function
PF02024	GO:0007165	signal transduction	process
PF02024	GO:0005179	hormone activity	function
PF02024	GO:0005576	extracellular region	component
PF00556	GO:0030077	plasma membrane light-harvesting complex	component
PF00556	GO:0016020	membrane	component
PF00556	GO:0019684	photosynthesis, light reaction	process
PF00556	GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	function
PF01004	GO:0019058	viral life cycle	process
PF01095	GO:0030599	pectinesterase activity	function
PF01095	GO:0042545	cell wall modification	process
PF00540	GO:0005198	structural molecule activity	function
PF00341	GO:0016020	membrane	component
PF00341	GO:0008083	growth factor activity	function
PF01442	GO:0005576	extracellular region	component
PF01442	GO:0042157	lipoprotein metabolic process	process
PF01442	GO:0006869	lipid transport	process
PF01442	GO:0008289	lipid binding	function
PF00832	GO:0003735	structural constituent of ribosome	function
PF00832	GO:0006412	translation	process
PF00832	GO:0005840	ribosome	component
PF01101	GO:0031492	nucleosomal DNA binding	function
PF01101	GO:0000785	chromatin	component
PF01101	GO:0005634	nucleus	component
PF00947	GO:0008233	peptidase activity	function
PF00947	GO:0016032	viral process	process
PF00947	GO:0006508	proteolysis	process
PF00039	GO:0005576	extracellular region	component
PF00348	GO:0008299	isoprenoid biosynthetic process	process
PF00277	GO:0005576	extracellular region	component
PF00825	GO:0000049	tRNA binding	function
PF00825	GO:0008033	tRNA processing	process
PF00825	GO:0004526	ribonuclease P activity	function
PF00854	GO:0016020	membrane	component
PF00854	GO:0022857	transmembrane transporter activity	function
PF00854	GO:0055085	transmembrane transport	process
PF00997	GO:0005576	extracellular region	component
PF00216	GO:0030527	structural constituent of chromatin	function
PF00216	GO:0003677	DNA binding	function
PF02896	GO:0016310	phosphorylation	process
PF02896	GO:0016772	transferase activity, transferring phosphorus-containing groups	function
PF02161	GO:0005496	steroid binding	function
PF02161	GO:0005634	nucleus	component
PF02161	GO:0043401	steroid hormone mediated signaling pathway	process
PF02161	GO:0003707	nuclear steroid receptor activity	function
PF02161	GO:0003677	DNA binding	function
PF02161	GO:0006355	regulation of DNA-templated transcription	process
PF00231	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)	component
PF00231	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	function
PF00231	GO:0015986	proton motive force-driven ATP synthesis	process
PF00810	GO:0046923	ER retention sequence binding	function
PF00810	GO:0016020	membrane	component
PF00810	GO:0006621	protein retention in ER lumen	process
PF01277	GO:0016020	membrane	component
PF01277	GO:0012511	monolayer-surrounded lipid storage body	component
PF00901	GO:0019028	viral capsid	component
PF00901	GO:0005198	structural molecule activity	function
PF00527	GO:0003700	DNA-binding transcription factor activity	function
PF00527	GO:0003677	DNA binding	function
PF00527	GO:0006355	regulation of DNA-templated transcription	process
PF01110	GO:0070120	ciliary neurotrophic factor-mediated signaling pathway	process
